Word,Definition,Synonyms,Antonyms
Detractors,,,
detriment,,"harm, damage","benefit, advantage"
detrimental,,"harmful, damaging","beneficial, helpful"
devote,,"dedicate, commit","neglect, ignore"
Devour,,"guttle, down, raven, gulp, pig, consume, go through",
devout,,"pious, religious","irreligious, unfaithful"
dictate,,"command, order","request, suggest"
Diction,,"verbiage, phraseology, enunciation, phrasing, wording, choice of words",
difficult,,"hard, tough","easy, simple"
Diffident,,"timid, reserved, unsure, shy, unconfident",
dignity,,"honour, respect","dishonour, disgrace"
Dilapidated,,"bedraggled, ramshackle, damaged, unsound, broken-down, tumble-down",
diligence,,"hard work, effort","laziness, idleness"
Diligence,,"application, industriousness, industry",
diligent,,"hardworking, industrious","lazy, careless"
Diligent,,"assiduous, industrious, sedulous, hardworking, tireless, persevering, untiring, patient",negligent
dilute,,"weaken, thin","strengthen, concentrate"
dim,,"faint, dull","bright, clear"
diminish,,"reduce, lessen","increase, enlarge"
dine,,"eat, feast","fast, starve"
diplomatic,,"tactful, polite","rude, blunt"
dire,,"terrible, dreadful","wonderful, pleasant"
disagree,,"argue, differ","agree, consent"
disappear,,"vanish, fade","appear, emerge"
Disarray,,"confusion, disorder, mental confusion, disorderliness",order
disaster,,"catastrophe, tragedy","blessing, fortune"
disband,,"scatter, disperse","assemble, gather"
discard,,"throw away, abandon","keep, retain"
discern,,"perceive, notice","overlook, ignore"
Discerning,,"apprehensive, perceptive, clear, fine, perspicacious, percipient, discreet, tactful, discriminating, prescient, clear-sighted, clear-eyed",undiscerning
disclose,,"reveal, expose","hide, conceal"
disclose,,"reveal, expose","conceal, hide"
discontent,,"unhappy, dissatisfied","content, satisfied"
discover,,"find, detect","lose, miss"
discreet,,"careful, cautious","indiscreet, careless"
Discretionary,,"arbitrary, unrestricted, discretional",
disdain,,"scorn, contempt","respect, admiration"
disdain,,"scorn, contempt","respect, admiration"
disease,,"illness, sickness","health, wellness"
disguise,,"mask, conceal","reveal, expose"
disgust,,"revulsion, loathing","delight, pleasure"
Dishevelled,,"tousled, untidy, rumpled, disheveled, frowzled",
dishonest,,"deceitful, false","honest, truthful"
Disintegrate,,"decay, decompose","incorporate, integrate"
dismal,,"gloomy, miserable","bright, cheerful"
Dismal,,"grim, blue, drab, gloomy, dark, disconsolate, sorry, dreary, drear, dispiriting, dingy, depressing",
dismantle,,"take apart, demolish","assemble, build"
dismay,,"shock, alarm","encourage, comfort"
Dismay,,"appall, consternation, alarm, deject, discouragement, appal, depress, disheartenment, demoralize, horrify, dispirit, get down","elate, uplift, lift up, intoxicate, pick up"
Disparaging,,"derogative, derogatory, uncomplimentary",
Disparate,,"different, heterogeneous",
disperse,,"scatter, spread","gather, collect"
disperse,,"scatter, spread","gather, collect"
display,,"show, exhibit","hide, conceal"
dissent,,"disagree, oppose","agree, consent"
dissolve,,"melt, disappear","solidify, harden"
distant,,"far, remote","near, close"
distant,,"far, remote","near, close"
distinct,,"different, separate","similar, alike"
distort,,"twist, misrepresent","straighten, clarify"
distract,,"divert, disturb","focus, concentrate"
distress,,"suffering, pain","comfort, relief"
distribute,,"give, allocate","collect, gather"
diverse,,"varied, different","similar, same"
diverse,,"varied, different","similar, uniform"
divide,,"separate, split","unite, combine"
docile,,"obedient, tame","rebellious, wild"
docile,,"obedient, submissive","rebellious, stubborn"
donate,,"give, contribute","withhold, keep"
doom,,"ruin, fate","salvation, rescue"
dormant,,"inactive, asleep","active, awake"
dormant,,"inactive, sleeping","active, awake"
doubt,,"uncertainty, suspicion","certainty, confidence"
Doubtful,,"dubious, tentative, uncertain, unsettled, questionable, unsure, dubitable, incertain, in question",
Dour,,"sullen, grim, tenacious, morose, pertinacious, unyielding, dark, glum, forbidding, stubborn, dogged, unpleasant",
drab,,"dull, boring","bright, colourful"
drain,,"empty, exhaust","fill, replenish"
drastic,,"extreme, severe","mild, slight"
dread,,"fear, anxiety","hope, confidence"
dread,,"fear, apprehension","hope, confidence"
dreary,,"dull, gloomy","bright, cheerful"
dreary,,"dull, gloomy","cheerful, bright"
drench,,"soak, saturate","dry, dehydrate"
Droll,,"humorous, humourous",
Drone,,"laggard, monotone, droning, dawdler, drone on, drone pipe, pilotless aircraft, radio-controlled aircraft, bourdon",
drowsy,,"sleepy, sluggish","alert, awake"
drowsy,,"sleepy, sluggish","alert, awake"
dull,,"boring, blunt","bright, sharp"
durable,,"strong, lasting","fragile, weak"
durable,,"long-lasting, sturdy","fragile, weak"
Duress,,,
dutiful,,"obedient, loyal","disobedient, rebellious"
duty,,"responsibility, obligation","freedom, right"
dwindle,,"shrink, decrease","expand, increase"
dynamic,,"energetic, active","inactive, passive"
eager,,"keen, enthusiastic","reluctant, unwilling"
eager,,"keen, enthusiastic","reluctant, unwilling"
earnest,,"serious, sincere","frivolous, insincere"
Edible,,"pabulum, victual, comestible, victuals, eatable, nontoxic, nonpoisonous, killable","inedible, uneatable"
Effigy,,"simulacrum, image",
Effusion,,"gush, outburst",
elaborate,,"detailed, complex","simple, plain"
elated,,"joyful, delighted","depressed, miserable"
Elated,,"sublime, joyful, high, jubilant, joyous, exultant, prideful, exulting, gleeful, triumphant, uplifted, exhilarated",dejected
Elect,,"elite, selected, chosen",
elevate,,"raise, lift","lower, drop"
elude,,"escape, evade","face, confront"
Elude,,"circumvent, escape, evade, dodge, skirt, hedge, bilk, fudge, sidestep, put off, duck, parry",
Emanate,,"exhale, give forth",
embellish,,"decorate, adorn","spoil, deface"
emerge,,"appear, arise","disappear, vanish"
eminent,,"famous, renowned","unknown, obscure"
Eminent,,"important, great, lofty, high, distinguished, towering, successful, soaring, of import, superior",
emit,,"release, discharge","absorb, contain"
Enchant,,"delight, charm, glamour, beguile, hex, entrance, bewitch, capture, captivate, enthrall, enamor, ravish","disillusion, disenchant"
Endeavour,,"endeavor, strive, effort, attempt, try, enterprise",
endure,,"tolerate, bear","quit, surrender"
Engrossed,,"rapt, attentive, absorbed, intent, wrapped, written, enwrapped",
Enmity,,"hostility, antagonism, ill will",
enormous,,"huge, massive","tiny, small"
Enrage,,,
entice,,"attract, tempt","repel, discourage"
envy,,"jealousy, resentment","contentment, satisfaction"
Epoch,,"date of reference, era",
Era,,epoch,
Erasable,,"eradicable, effaceable",
erase,,"remove, delete","write, record"
erratic,,"irregular, unpredictable","regular, consistent"
Erroneous,,"wrong, incorrect, inaccurate",
essential,,"necessary, vital","unnecessary, trivial"
evade,,"avoid, escape","face, confront"
exalt,,"praise, glorify","condemn, criticize"
exceed,,"surpass, outdo","fail, fall short"
exhaust,,"tire, drain","energize, refresh"
Exhort,,"urge, press, cheer, barrack, inspire, urge on, pep up",
Exonerate,,"clear, discharge, acquit, assoil, exculpate",convict
expand,,"enlarge, increase","shrink, contract"
Expel,,"discharge, rout, release, exclude, eject, oust, turn out, kick out, turf out, boot out, rout out, throw out",
explicit,,"clear, definite","vague, implicit"
expose,,"reveal, uncover","conceal, hide"
extend,,"lengthen, stretch","shorten, shrink"
extinguish,,"put out, douse","ignite, kindle"
extravagant,,"wasteful, excessive","thrifty, frugal"
Extrovert,,"extroverted, extravert, extrovertive, extraversive, extraverted, extroversive, extravertive",introvert
fable,,"tale, story","truth, fact"
faint,,"weak, dim","strong, bright"
faithful,,"loyal, devoted","disloyal, unfaithful"
fake,,"false, counterfeit","genuine, real"
falter,,"hesitate, stumble","continue, persist"
famous,,"renowned, celebrated","unknown, obscure"
famous,,"renowned, celebrated","unknown, obscure"
fascinate,,"charm, enchant","bore, repel"
fasten,,"fix, secure","loosen, detach"
Fastidious,,"meticulous, dainty, exacting, nice, particular, prissy, finicky, squeamish, persnickety, finical, pernickety, old-womanish",unfastidious
Feasible,,"viable, possible, practicable, workable, practicably",
feast,,"banquet, meal","fast, famine"
feeble,,"weak, frail","strong, powerful"
Feign,,"affect, sham, assume, simulate, dissemble, pretend",
Feral,,"wild, untamed, savage",
ferocious,,"fierce, savage","gentle, mild"
Ferocity,,"vehemence, violence, furiousness, wildness, fierceness, fury",
fertile,,"productive, fruitful","barren, infertile"
Fiasco,,debacle,
fiction,,"story, tale","truth, fact"
fierce,,"violent, ferocious","gentle, mild"
Filly,,,
filthy,,"dirty, unclean","clean, spotless"
Finesse,,"delicacy, diplomacy, discreetness",
finite,,"limited, bounded","infinite, endless"
Flamboyant,,"aureate, resplendent, fancy, florid, unrestrained, showy, colorful, peacock flower, flame tree, royal poinciana, poinciana regia, delonix regia",
Flatulence,,"gas, flatulency, turgidity, turgidness",
flaw,,"fault, defect","perfection, strength"
flexible,,"adaptable, bendable","rigid, stiff"
Flimsy,,"light, tenuous, inferior, weak, fragile, thin, onionskin, cardboard, slight",
flourish,,"prosper, thrive","wither, decline"
Flourish,,"expand, wave, boom, brandish, thrive, fanfare, get ahead, fligh high, prosper",
Foal,,,
foe,,"enemy, opponent","friend, ally"
Foe,,"opposition, enemy, opponent, foeman","ally, friend, confederate"
forbid,,"ban, prohibit","allow, permit"
Forge,,"contrive, shape, spurt, form, devise, counterfeit, mold, formulate, fake, spirt, hammer, excogitate",
Formidable,,"impressive, alarming, redoubtable, unnerving",
Forsake,,"desolate, lurch, desert, abandon",
Fortuitous,,"fortunate, unintended, causeless, uncaused",
foster,,"encourage, nurture","neglect, hinder"
fragile,,"delicate, breakable","strong, durable"
fragile,,"delicate, weak","strong, sturdy"
frank,,"honest, direct","dishonest, deceitful"
Frantic,,"wild, agitated, frenetic, delirious, frenzied, excited, unrestrained, mad, phrenetic",
fraud,,"deceit, trickery","truth, honesty"
Fraudulent,,"fallacious, deceitful, dishonorable, dishonest",
frequent,,"regular, common","rare, infrequent"
Frivolous,,"light, trivial, giddy, silly, flippant, flighty, featherbrained, flyaway, dizzy, light-headed, empty-headed, airheaded",serious
frugal,,"economical, thrifty","extravagant, wasteful"
Frugal,,"economical, thrifty, sparing, stinting, scotch",
Furtive,,"surreptitious, sneak, skulking, concealed, lurking, stealthy, sneaky, backstair, backstairs, covert",
Furtively,,on the sly,
Futile,,"otiose, ineffectual, fruitless, useless, unavailing, unproductive, sleeveless, bootless, vain",
gain,,"profit, earn","lose, forfeit"
Gallant,,"courteous, spirited, impressive, lofty, proud, swell, brave, dandy, beau, majestic, dashing, squire",
Gasket,,,
Gauge,,"gage, judge, estimate, approximate, guess",
Genealogy,,family tree,
generous,,"kind, charitable","selfish, mean"
genuine,,"real, authentic","fake, false"
gigantic,,"huge, enormous","tiny, small"
gleam,,"shine, glimmer","dull, darken"
glide,,"slide, coast","stumble, halt"
glitter,,"sparkle, shine","dull, fade"
gloomy,,"sad, miserable","cheerful, bright"
glorious,,"splendid, magnificent","inglorious, shameful"
gorgeous,,"beautiful, splendid","ugly, plain"
graceful,,"elegant, poised","awkward, clumsy"
Grandeur,,"splendor, nobility, magnificence, splendour, grandness, brilliance, magnanimousness",
Grandiose,,"pretentious, impressive, highfalutin, hoity-toity, hifalutin, highfaluting, la-di-da",
